Iteration		Residual
211		3.843870e+01
212		3.699211e+01
213		3.559927e+01
214		3.425823e+01
215		3.296712e+01
216		3.172412e+01
217		3.052748e+01
218		2.937551e+01
219		2.826657e+01
220		2.719909e+01
221		2.617155e+01
222		2.518249e+01
223		2.423049e+01
224		2.331417e+01
225		2.243224e+01
226		2.158342e+01
227		2.076648e+01
228		1.998025e+01
229		1.922358e+01
230		1.849538e+01
231		1.779460e+01
232		1.712021e+01
233		1.647123e+01
234		1.584671e+01
235		1.524575e+01
236		1.466746e+01
237		1.411100e+01
238		1.357555e+01
239		1.306033e+01
240		1.256457e+01
241		1.208756e+01
242		1.162858e+01
243		1.118696e+01
244		1.076205e+01
245		1.035323e+01
246		9.959875e+00
247		9.581420e+00
248		9.217299e+00
249		8.866973e+00
250		8.529924e+00
251		8.205650e+00
252		7.893670e+00
253		7.593521e+00
254		7.304757e+00
255		7.026947e+00
256		6.759678e+00
257		6.502551e+00
258		6.255185e+00
259		6.017210e+00
260		5.788270e+00
261		5.568024e+00
262		5.356144e+00
263		5.152312e+00
264		4.956224e+00
265		4.767587e+00
266		4.586118e+00
267		4.411546e+00
268		4.243610e+00
269		4.082058e+00
270		3.926648e+00
271		3.777147e+00
272		3.633332e+00
273		3.494985e+00
274		3.361901e+00
275		3.233879e+00
276		3.110727e+00
277		2.992260e+00
278		2.878300e+00
279		2.768676e+00
280		2.663224e+00
281		2.561785e+00
282		2.464207e+00
283		2.370342e+00
284		2.280051e+00
285		2.193196e+00
286		2.109647e+00
287		2.029279e+00
288		1.951971e+00
289		1.877606e+00
290		1.806073e+00
291		1.737263e+00
292		1.671074e+00
293		1.607405e+00
294		1.546160e+00
295		1.487248e+00
296		1.430580e+00
297		1.376070e+00
298		1.323636e+00
299		1.273200e+00
300		1.224684e+00
301		1.178016e+00
302		1.133127e+00
303		1.089947e+00
304		1.048412e+00
305		1.008459e+00
306		9.700285e-01
307		9.330620e-01
308		8.975039e-01
309		8.633005e-01
310		8.304002e-01
311		7.987535e-01
312		7.683126e-01
313		7.390315e-01
314		7.108662e-01
315		6.837740e-01
316		6.577142e-01
317		6.326474e-01
318		6.085357e-01
319		5.853429e-01
320		5.630339e-01
321		5.415750e-01
322		5.209338e-01
323		5.010792e-01
324		4.819813e-01
325		4.636111e-01
326		4.459411e-01
327		4.289444e-01
328		4.125955e-01
329		3.968696e-01
330		3.817431e-01
331		3.671930e-01
332		3.531975e-01
333		3.397354e-01
334		3.267863e-01
335		3.143308e-01
336		3.023500e-01
337		2.908258e-01
338		2.797408e-01
339		2.690783e-01
340		2.588222e-01
341		2.489570e-01
342		2.394678e-01
343		2.303402e-01
344		2.215606e-01
345		2.131156e-01
346		2.049924e-01
347		1.971789e-01
348		1.896632e-01
349		1.824340e-01
350		1.754802e-01
351		1.687916e-01
352		1.623579e-01
353		1.561694e-01
354		1.502167e-01
355		1.444910e-01
356		1.389835e-01
357		1.336859e-01
358		1.285903e-01
359		1.236889e-01
360		1.189743e-01
361		1.144394e-01
362		1.100773e-01
363		1.058816e-01
364		1.018457e-01
365		9.796371e-02
366		9.422966e-02
367		9.063794e-02
368		8.718313e-02
369		8.386001e-02
370		8.066354e-02
371		7.758892e-02
372		7.463149e-02
373		7.178679e-02
374		6.905052e-02
375		6.641854e-02
376		6.388690e-02
377		6.145175e-02
378		5.910941e-02
379		5.685637e-02
380		5.468920e-02
381		5.260463e-02
382		5.059953e-02
383		4.867085e-02
384		4.681568e-02
385		4.503124e-02
386		4.331480e-02
387		4.166379e-02
388		4.007572e-02
389		3.854817e-02
390		3.707886e-02
391		3.566555e-02
392		3.430610e-02
393		3.299849e-02
394		3.174070e-02
395		3.053087e-02
396		2.936714e-02
397		2.824777e-02
398		2.717108e-02
399		2.613542e-02
400		2.513923e-02
401		2.418103e-02
402		2.325934e-02
403		2.237278e-02
404		2.152002e-02
405		2.069975e-02
406		1.991077e-02
407		1.915184e-02
408		1.842185e-02
409		1.771968e-02
410		1.704429e-02
411		1.639462e-02
412		1.576973e-02
413		1.516865e-02
414		1.459049e-02
415		1.403436e-02
416		1.349943e-02
417		1.298488e-02
418		1.248996e-02
419		1.201389e-02
420		1.155598e-02
421		1.111551e-02
422		1.069183e-02
423		1.028431e-02
424		9.892312e-03
425		9.515267e-03
426		9.152588e-03
427		8.803735e-03
428		8.468166e-03
429		8.145399e-03
430		7.834946e-03
431		7.536303e-03
432		7.249056e-03
433		6.972754e-03
434		6.706989e-03
435		6.451349e-03
436		6.205447e-03
437		5.968930e-03
438		5.741424e-03
439		5.522589e-03
440		5.312092e-03
441		5.109620e-03
442		4.914870e-03
443		4.727535e-03
444		4.547350e-03
445		4.374019e-03
446		4.207309e-03
447		4.046946e-03
448		3.892699e-03
449		3.744321e-03
450		3.601614e-03
451		3.464337e-03
452		3.332292e-03
453		3.205280e-03
454		3.083118e-03
455		2.965595e-03
456		2.852577e-03
457		2.743847e-03
458		2.639258e-03
459		2.538664e-03
460		2.441913e-03
461		2.348835e-03
462		2.259309e-03
463		2.173197e-03
464		2.090362e-03
465		2.010695e-03
466		1.934057e-03
467		1.860341e-03
468		1.789437e-03
469		1.721231e-03
470		1.655621e-03
471		1.592528e-03
472		1.531821e-03
473		1.473443e-03
474		1.417284e-03
475		1.363262e-03
476		1.311303e-03
477		1.261324e-03
478		1.213251e-03
479		1.167000e-03
480		1.122530e-03
481		1.079740e-03
482		1.038596e-03
483		9.990036e-04
484		9.609284e-04
485		9.242985e-04
486		8.890796e-04
487		8.551860e-04
488		8.225869e-04
489		7.912414e-04
490		7.610898e-04
491		7.320708e-04
492		7.041702e-04
493		6.773416e-04
494		6.515151e-04
495		6.266851e-04
496		6.027967e-04
497		5.798312e-04
498		5.577281e-04
499		5.364576e-04
500		5.160300e-04
501		4.963567e-04
502		4.774313e-04
503		4.592445e-04
504		4.417384e-04
505		4.248898e-04
506		4.087109e-04
507		3.931317e-04
508		3.781430e-04
509		3.637308e-04
510		3.498616e-04
511		3.365390e-04
512		3.237082e-04
513		3.113644e-04
514		2.995078e-04
515		2.880841e-04
516		2.771104e-04
517		2.665455e-04
518		2.563791e-04
519		2.466226e-04
520		2.372134e-04
521		2.281750e-04
522		2.194783e-04
523		2.111122e-04
524		2.030656e-04
525		1.953291e-04
526		1.878822e-04
527		1.807222e-04
528		1.738388e-04
529		1.671994e-04
530		1.608394e-04
531		1.546945e-04
532		1.488198e-04
533		1.431340e-04
534		1.376849e-04
535		1.324369e-04
536		1.273816e-04
537		1.225332e-04
538		1.178654e-04
539		1.133680e-04
540		1.090458e-04
541		1.048958e-04
542		1.008930e-04
543		9.704940e-05
544		9.335112e-05
545		8.979347e-05
546		8.636992e-05
547		8.307490e-05
548		7.991586e-05
549		7.686578e-05
550		7.393211e-05
551		7.112417e-05
552		6.840844e-05
553		6.579701e-05
554		6.329548e-05
555		6.088056e-05
556		5.855784e-05
557		5.633105e-05
558		5.418248e-05
559		5.211029e-05
560		5.013309e-05
561		4.822202e-05
562		4.638359e-05
563		4.461780e-05
564		4.290603e-05
565		4.128274e-05
566		3.969856e-05
567		3.819726e-05
568		3.673229e-05
569		3.534183e-05
570		3.398675e-05
571		3.269129e-05
572		3.145076e-05
573		3.025215e-05
574		2.909452e-05
575		2.798438e-05
576		2.692174e-05
577		2.589542e-05
578		2.490915e-05
579		2.395920e-05
580		2.303999e-05
581		2.217386e-05
582		2.131145e-05
583		2.051610e-05
584		1.972634e-05
585		1.897942e-05
586		1.825299e-05
587		1.755264e-05
588		1.688953e-05
589		1.624320e-05
590		1.562759e-05
591		1.503248e-05
592		1.445413e-05
593		1.390651e-05
594		1.337752e-05
595		1.285784e-05
596		1.238100e-05
597		1.190603e-05
598		1.144595e-05
599		1.101568e-05
600		1.059379e-05
601		1.019053e-05
602		9.804964e-06
603		9.425916e-06
604		9.071082e-06
605		8.722767e-06
606		8.394942e-06
607		8.069910e-06
608		7.759780e-06
609		7.465482e-06
610		7.182360e-06
611		6.910414e-06
612		6.646849e-06
613		6.393529e-06
614		6.151386e-06
615		5.912036e-06
616		5.692244e-06
617		5.470589e-06
618		5.267560e-06
619		5.058944e-06
620		4.870817e-06
621		4.683621e-06
622		4.508533e-06
623		4.332513e-06
624		4.168600e-06
625		4.010275e-06
626		3.857538e-06
627		3.713183e-06
628		3.566034e-06
629		3.432855e-06
630		3.303401e-06
631		3.173947e-06
632		3.058463e-06
633		2.941117e-06
634		2.820976e-06
635		2.721325e-06
636		2.617016e-06
637		2.510846e-06
638		2.423301e-06
639		2.322719e-06
640		2.248213e-06
641		2.153218e-06
642		2.069399e-06
643		1.993030e-06
644		1.911074e-06
645		1.844019e-06
646		1.778826e-06
647		1.707114e-06
648		1.633540e-06
649		1.579523e-06
650		1.520850e-06
651		1.462176e-06
652		1.403503e-06
653		1.350418e-06
654		1.298264e-06
655		1.255423e-06
656		1.194887e-06
657		1.158565e-06
658		1.111068e-06
659		1.072884e-06
660		1.025386e-06
661		9.993091e-07
662		9.490177e-07
663		9.192154e-07
664		8.735806e-07
665		8.530915e-07
666		8.130446e-07
667		7.832423e-07
668		7.515773e-07
669		7.282943e-07
670		7.003546e-07
671		6.640330e-07
672		6.491318e-07
673		6.230548e-07
674		5.941838e-07
675		5.783513e-07
676		5.485490e-07
677		5.317852e-07
678		5.122274e-07
679		4.917383e-07
680		4.740432e-07
681		4.544854e-07
682		4.349276e-07
683		4.265457e-07
684		4.032627e-07
685		3.892928e-07
686		3.734604e-07
687		3.641471e-07
688		3.445894e-07
689		3.324822e-07
690		3.241003e-07
691		3.073364e-07
692		2.989545e-07
693		2.831221e-07
694		2.756715e-07
695		2.570450e-07
696		2.598390e-07
697		2.412125e-07
698		2.328306e-07
699		2.337620e-07
700		2.188608e-07
701		2.058223e-07
702		2.086163e-07
703		1.862645e-07
704		1.871958e-07
705		1.778826e-07
706		1.732260e-07
707		1.648441e-07
708		1.639128e-07
709		1.434237e-07
710		1.518056e-07
711		1.471490e-07
712		1.285225e-07
713		1.331791e-07
714		1.294538e-07
715		1.182780e-07
716		1.182780e-07
717		1.089647e-07
718		1.126900e-07
719		1.005828e-07
720		1.043081e-07
721		9.872019e-08
722		8.847564e-08
723		8.381903e-08
724		9.033829e-08
725		8.381903e-08
726		7.823110e-08
727		7.636845e-08
728		7.078052e-08
729		7.450581e-08
730		6.612390e-08
731		6.426126e-08
732		6.239861e-08
733		6.146729e-08
734		6.053597e-08
735		5.960464e-08
736		4.377216e-08
737		5.494803e-08
738		5.122274e-08
739		4.377216e-08
740		4.563481e-08
741		4.656613e-08
742		4.190952e-08
743		4.377216e-08
744		3.725290e-08
745		3.818423e-08
746		4.004687e-08
747		3.725290e-08
748		2.887100e-08
749		3.352761e-08
750		2.607703e-08
751		3.352761e-08
752		2.607703e-08
753		2.607703e-08
754		2.980232e-08
755		2.793968e-08
756		2.514571e-08
757		2.328306e-08
758		2.421439e-08
759		1.862645e-08
760		2.328306e-08
761		2.235174e-08
762		2.048910e-08
763		1.396984e-08
764		1.955777e-08
765		1.490116e-08
766		1.862645e-08
767		1.303852e-08
768		1.490116e-08
769		1.955777e-08
770		1.769513e-08
771		6.519258e-09
