Iteration-index		e_normA		r_norm2
126		14.8388357701		90.6929076606
127		14.7276549338		89.8452041073
128		14.6070639343		97.7175040127
129		14.4768852331		99.8226739341
130		14.3317176533		100.2834625185
131		14.1870771331		97.0525438745
132		14.0335878236		99.5150203936
133		13.8795082336		93.6810430484
134		13.7559438259		85.4122709877
135		13.6455275869		79.3912014823
136		13.5419378295		75.7230136326
137		13.4564572030		68.7964310186
138		13.3756421267		70.6069978697
139		13.2862222901		73.2604806262
140		13.2063280410		65.1747888648
141		13.1345451458		66.6529374628
142		13.0654238809		65.0371454527
143		12.9966710871		64.6977271171
144		12.9289395951		68.1335616156
145		12.8557627163		68.2617410951
146		12.7824466454		68.5279931680
147		12.7056856217		67.7542682135
148		12.6208029057		69.3714263141
149		12.5374477398		67.5686714732
150		12.4529867344		68.4171307950
151		12.3680001581		67.3827436995
152		12.2895837474		65.8779273013
153		12.2079332724		68.4600968081
154		12.1284829740		72.3102959564
155		12.0401812330		74.3534395731
156		11.9468183909		74.6937790080
157		11.8447035741		77.2547209797
158		11.7361888415		76.1086273400
159		11.6329408589		69.4415589373
160		11.5385463472		69.1818500061
161		11.4389219803		72.1639532257
162		11.3258443154		75.6681171622
163		11.2017527571		78.3148593526
164		11.0888955960		75.6265385613
165		10.9759732178		79.2429350805
166		10.8583183529		81.2905876251
167		10.7409890700		77.0335800184
168		10.6246509270		73.6833382837
169		10.5263753617		68.3637149561
170		10.4205182610		73.5323138095
171		10.3056242339		68.6072240078
172		10.1991271843		69.3160611320
173		10.0844823083		71.8223242610
174		9.9604769849		76.9067007011
175		9.8236465822		75.4344682645
176		9.6954160269		69.9834734151
177		9.5852424382		65.2144869647
178		9.4875138177		60.6399997246
179		9.4052630984		54.9036165524
180		9.3340937734		52.7472862859
181		9.2700757393		48.6711131741
182		9.2160753896		46.8779779476
183		9.1590903920		51.8254394120
184		9.0982334352		52.8244500228
185		9.0326449345		56.9175020365
186		8.9561267219		57.7591900250
187		8.8667845363		62.1831344217
188		8.7617209353		63.3403798074
189		8.6607399554		62.3417883360
190		8.5503598571		62.4388851775
191		8.4491558110		59.6863947611
192		8.3612403878		53.3454964960
193		8.2878037687		48.6806283560
194		8.2333848772		46.1931291384
195		8.1877072802		40.4867618293
196		8.1514711668		36.5353235398
197		8.1147559006		36.2225221324
198		8.0773178658		37.8552428037
199		8.0338965768		40.6676737524
200		7.9857580344		40.3069460683
201		7.9321051012		44.9883694248
202		7.8713398699		46.1806267182
203		7.8079721339		49.5082511626
204		7.7479004179		48.2778641699
205		7.6892675334		45.4134397625
206		7.6348996118		42.8687931839
207		7.5809003041		41.0559246181
208		7.5270450991		41.4591766706
209		7.4719826360		44.9739642570
210		7.3986991816		50.4265982110
211		7.3149780150		56.7675021451
212		7.2240616795		55.0601274976
213		7.1408186811		53.9151586010
214		7.0582592059		52.8605073584
215		6.9697917933		52.3525114063
216		6.8773292834		54.3307162571
217		6.7770645105		56.6314727897
218		6.6663640375		57.2444746825
219		6.5574544843		56.8117526640
220		6.4524543506		51.1815590086
221		6.3695796144		49.6275344598
222		6.2944322835		48.2670682806
223		6.2227344749		45.2710466507
224		6.1556469519		44.5501459155
225		6.0868114379		43.6941280037
226		6.0248038973		43.1283071944
227		5.9591866129		45.5175003575
228		5.8921249778		42.8440651667
229		5.8274519119		41.9853256300
230		5.7637540760		38.2373598154
231		5.7065771974		38.6403025572
232		5.6474190986		37.6693341560
233		5.5907780782		36.5136623447
234		5.5416590342		34.8544999146
235		5.5026039338		31.2873750129
236		5.4678567519		28.9169685355
237		5.4366501518		26.2613953491
238		5.4080449414		24.9085465011
239		5.3824880308		24.7102253627
240		5.3587099337		24.1701063263
241		5.3360630117		23.4345011303
242		5.3172494005		21.8645376020
243		5.2983146074		21.8431585053
244		5.2776818335		21.6251050431
245		5.2560564999		22.8385647568
246		5.2332541429		23.5996223732
247		5.2094347962		26.4913353475
248		5.1804280051		29.5283122176
249		5.1444040822		30.6564466953
250		5.1058357435		29.9382515840
251		5.0668856391		27.4910920935
252		5.0347053115		25.4585923125
253		5.0064844766		24.9960474454
254		4.9773895324		25.8685101522
255		4.9522219474		25.3907023525
256		4.9267338480		25.6772113916
257		4.8973846447		25.4230635643
258		4.8693231009		24.6502202993
259		4.8413827053		26.0624218760
260		4.8157664654		23.4815118967
261		4.7925662102		22.4164934235
262		4.7735713959		18.7533835288
263		4.7585273897		15.7617445794
264		4.7483303189		13.0610986930
265		4.7403948051		12.4880708684
266		4.7321026898		13.3618792502
267		4.7230477655		13.4883752832
268		4.7141818138		13.8666724041
269		4.7030768857		15.3904141441
270		4.6901645461		17.1815925223
271		4.6738988818		19.1200962015
272		4.6551395011		19.4439045979
273		4.6337468502		21.2984221628
274		4.6093022077		22.8439073709
